date,sm5,sm10,sm20,sm40,st5,st10,st20,st40,nodes,obs48
2021-03-26,0.2734448,0.316136,0.2435098,0.1974667,2.29187,1.36813,0.62188,0.19604,10,48
2021-03-27,0.2675321,0.322477,0.2530614,0.1986724,5.06125,3.115,1.37083,0.20021,10,48
2021-03-28,0.2631053,0.3175642,0.2666215,0.2021453,4.18833,3.02667,1.52438,0.21333,10,48
2021-03-29,0.2593737,0.3140476,0.2711462,0.2050645,2.12083,1.84187,1.12354,0.21938,10,48
2021-03-30,0.2576659,0.3123158,0.2726571,0.2074757,3.87646,2.87062,1.39021,0.23063,10,48
2021-03-31,0.2531164,0.3094953,0.2764527,0.2098644,3.66812,2.88604,1.58604,0.24542,10,48
2021-04-01,0.2512156,0.3080573,0.2768653,0.2113797,4.39333,3.45979,1.92292,0.27417,10,48
2021-04-02,0.2497619,0.3069527,0.2761764,0.2125639,5.48208,4.38458,2.53042,0.33417,10,48
2021-04-03,0.2454169,0.3043142,0.2750729,0.2135895,4.05271,3.75104,2.60563,0.40979,10,48
2021-04-04,0.237492,0.3005083,0.2729922,0.2144938,2.85313,2.56312,1.87979,0.42604,10,48
2021-04-05,0.2388272,0.3002216,0.2722344,0.2164911,4.29208,3.48812,2.23271,0.465,10,48
2021-04-06,0.2360557,0.2986059,0.2715404,0.2201136,4.105,3.71271,2.6975,0.58563,10,48
